epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae,lr,seconds
1,0.20652200689736178,0.015414854118835211,2.3895180789887323,0.1403006283726011,0.014337725422212056,2.3116893618763465,0.001,103.04154825210571
2,0.12757101418011316,0.010165276267562001,1.939197334803852,0.09868733477592469,0.008825655168720654,1.8084326266345547,0.001,74.68549966812134
3,0.10792542685095857,0.008656981772160142,1.7905688866850957,0.09112587520054409,0.007323828724878175,1.643042008563767,0.001,75.07752346992493
4,0.09738933582358607,0.007890471212312246,1.7061694667137426,0.08255286531788962,0.006586694866418838,1.553184828350817,0.001,74.77428412437439
5,0.09079846854102079,0.007392390089287475,1.6528957467132723,0.07926588044847761,0.0072408894151449205,1.6375736903991462,0.001,79.61525821685791
6,0.08595602836732458,0.007041568645442707,1.6124924076324962,0.07556898524931499,0.00788582241322313,1.7265949960587534,0.001,74.93382430076599
7,0.08281466693473541,0.006786851754943969,1.5803409829394157,0.07358033821412495,0.006086917804820197,1.491968820309894,0.001,105.2307698726654
8,0.08010955195025943,0.006577982361394367,1.557989325623261,0.07169553822278976,0.00640642030111381,1.532617490089485,0.001,75.99139213562012
9,0.07807888376064659,0.006464003699328144,1.5442739217798784,0.068824337882655,0.00554641592502594,1.425666233391286,0.001,75.98456525802612
10,0.07572566754207379,0.006251011441066119,1.5208157132014661,0.06756169893911906,0.005452552919941289,1.4161653074229417,0.001,76.40015649795532
11,0.07500608385033239,0.0061924429960564025,1.5121732826724958,0.06870589030640466,0.0057769920868533,1.4521885500946503,0.001,76.53645968437195
12,0.07379298961183768,0.006132293645173266,1.5048675671416578,0.06725110364811761,0.005400667079857417,1.4014609596485028,0.001,75.79645609855652
13,0.0722688510673257,0.0060152434930867875,1.4919201791847838,0.06822455655676977,0.006479655768190111,1.5527880292517109,0.001,78.713210105896
14,0.07139562058633542,0.005955628942834531,1.483251939075472,0.0665311701468059,0.005473452514835766,1.4160000537626853,0.001,81.48142743110657
15,0.07080162747392083,0.005905163988548641,1.4760538465200348,0.06537554485457284,0.005256236515939236,1.3825803443255427,0.001,78.77918529510498
16,0.070025225188886,0.0058220525066807445,1.4673441292781046,0.06389674018110547,0.005740849207554545,1.456646652983449,0.001,84.32934975624084
17,0.06870224921986824,0.005739490660825532,1.4551180209530516,0.06435131988355092,0.005481074158634458,1.419462019026169,0.001,78.52925062179565
18,0.0678802276885788,0.005654649003087051,1.4457628666294122,0.06254817702089037,0.005318242291254657,1.402418111738976,0.001,80.54850339889526
19,0.06700494871058357,0.005614688038841132,1.439002219172694,0.06271293257815497,0.005004210037844522,1.3507735745852902,0.001,98.99842190742493
20,0.06670351218000599,0.005577929537294705,1.4359306607707014,0.062350003979035784,0.005058381125330925,1.3553723506372322,0.001,104.7220311164856
21,0.06615019140659066,0.005533584793916017,1.4276345528490548,0.06232124727112906,0.005091546081006527,1.3691245050801666,0.001,97.23734664916992
22,0.06570767914134312,0.005498257063412509,1.423741108995531,0.06132522259439741,0.005154625378549099,1.382081573201156,0.001,97.28805589675903
23,0.06529336742587327,0.005482241609777377,1.4243104090971634,0.060363731248038156,0.005009275191596576,1.3559947844303966,0.001,92.02576661109924
24,0.06495727129219993,0.0054415779865471785,1.415241540684227,0.06058954672302518,0.005141033142805099,1.3809761969597039,0.001,79.84375834465027
25,0.06461752328938403,0.005405631223248651,1.410610209474002,0.06260133710077831,0.005219240836799145,1.375745472216801,0.001,76.03339552879333
26,0.06384112307710982,0.005373272773662082,1.4081389354250127,0.06044534011398043,0.0050006056438599315,1.3591590563283982,0.001,75.26832056045532
27,0.06412785814136146,0.005374847588316742,1.4099768694757795,0.05964294198581151,0.00487642551107066,1.3441302835258342,0.001,75.4694344997406
28,0.06338961599621831,0.00533653651241107,1.4028118844859567,0.05990598327772958,0.004824650892189571,1.3321326248963454,0.001,74.96307468414307
29,0.06344658287234484,0.005317600711099274,1.4013881435612119,0.05978932529687882,0.0050792927784579145,1.3732042996339673,0.001,74.56252574920654
30,0.062829922820343,0.005283516016788781,1.3947451761974412,0.058853921123913355,0.00474817691636937,1.3214566673349515,0.001,75.3782742023468
31,0.06262142830376884,0.005252901202766225,1.3932922260554332,0.06035143020323345,0.004810737210725035,1.324537049977859,0.001,75.56761908531189
32,0.06222566983821552,0.0052323059701338045,1.3891917821281217,0.059764030746051244,0.004844466498919895,1.3315618323036298,0.001,75.63333559036255
33,0.06204538988858098,0.005217207199846569,1.3866915896160583,0.05906738073485238,0.004871713787317276,1.3406189034603517,0.001,76.01859831809998
34,0.061378988338922094,0.005184515081942309,1.381472402048407,0.058210968400750844,0.004755343860813549,1.3198106598752617,0.001,75.60832333564758
35,0.0612993598707414,0.005155834940317034,1.382074957665798,0.059049562420163834,0.005554844359202045,1.4429051626005265,0.001,81.58801627159119
36,0.06110456041476833,0.005156654448341199,1.3796130373738733,0.058086928180285866,0.004797510649476732,1.3259562314177695,0.001,80.18692755699158
37,0.0605813277378012,0.005098189701935716,1.3733011184654917,0.057822622282164435,0.004697883116347449,1.3133800175634627,0.001,79.07759261131287
38,0.06036976059118846,0.005094028647792169,1.3709891516138861,0.0572409507887704,0.004819798484444618,1.3358953420329487,0.001,78.64693236351013
39,0.060680357296383235,0.0051329499983694404,1.3755657048819812,0.05750955206155777,0.004869977853127888,1.3432119152467645,0.001,78.20110583305359
40,0.05959682228475264,0.00503537764586319,1.3653368352320412,0.057144162774086,0.004778425821236202,1.332311792926866,0.001,80.5523841381073
